alpha,gamma,sigma,activation,minimized_quantity,lambda_opt
2.5,0.8,0.5,erf,evidence,0.7614549176759856,logit
3.0,0.6666666666666666,0.5,erf,evidence,0.6852983600283205,logit
4.0,0.5,0.5,erf,evidence,0.685462245124865,logit
5.0,0.4,0.5,erf,evidence,0.7509933468326904,logit
6.0,0.3333333333333333,0.5,erf,evidence,0.8401219831694909,logit
7.0,0.2857142857142857,0.5,erf,evidence,0.9404398401797883,logit
8.0,0.25,0.5,erf,evidence,1.0469528457136192,logit
9.0,0.2222222222222222,0.5,erf,evidence,1.1572560095263476,logit
10.0,0.2,0.5,erf,evidence,1.2700520948877743,logit


10.0,0.2,0.5,erf,evidence,1.2700885422040689
3.3108108108108105,0.6040816326530613,0.5,erf,evidence,0.6724397993433902
1.9838056680161942,1.0081632653061225,0.5,erf,evidence,1.056988183018337
1.416184971098266,1.4122448979591837,0.5,erf,evidence,6.489823840160166
1.101123595505618,1.816326530612245,0.5,erf,evidence,999.9999789299557
0.9007352941176469,2.2204081632653065,0.5,erf,evidence,999.9999790098224
0.7620528771384135,2.6244897959183677,0.5,erf,evidence,999.9999790299793
0.660377358490566,3.028571428571429,0.5,erf,evidence,999.9999790384152
0.5826397146254458,3.43265306122449,0.5,erf,evidence,999.9999790427873
0.5212765957446808,3.8367346938775517,0.5,erf,evidence,999.9999790453385
0.4716073147256977,4.240816326530613,0.5,erf,evidence,999.9999790469409
0.43057996485061506,4.644897959183674,0.5,erf,evidence,999.9999790480056
0.39611964430072755,5.048979591836735,0.5,erf,evidence,999.9999790487416
0.36676646706586824,5.4530612244897965,0.5,erf,evidence,999.9999790493258
0.3414634146341463,5.857142857142858,0.5,erf,evidence,999.9999790497117
0.3194263363754889,6.261224489795919,0.5,erf,evidence,999.999979049961
0.3000612369871402,6.66530612244898,0.5,erf,evidence,999.9999790501467
0.28290993071593534,7.06938775510204,0.5,erf,evidence,999.9999790503535
0.26761332605133803,7.473469387755103,0.5,erf,evidence,999.9999790504611
0.2538860103626943,7.877551020408163,0.5,erf,evidence,999.9999790505673
0.24149827501232132,8.281632653061225,0.5,erf,evidence,999.9999790506574
0.23026315789473686,8.685714285714285,0.5,erf,evidence,999.9999790507352
0.22002694207453974,9.089795918367347,0.5,erf,evidence,999.999979050783
0.21066208082545143,9.493877551020407,0.5,erf,evidence,999.9999790508346
0.2020618556701031,9.89795918367347,0.5,erf,evidence,999.9999790508647
0.19413629160063392,10.30204081632653,0.5,erf,evidence,999.9999790509129
